"","country","year","LifeExp","income","population","continent"
"252","Iraq",1801,31.2,3840,1000000,"Middle East"
"253","Ireland",1801,38.3,1470,5330000,"Europe"
"254","Israel",1801,32,880,210000,"Middle East"
"255","Italy",1801,29.7,2740,19100000,"Europe"
"256","Jamaica",1801,34.2,1360,304000,"The Americas"
"257","Japan",1801,36.4,1010,28100000,"Asia"
"258","Jordan",1801,31.7,1130,201000,"Middle East"
"259","Kazakhstan",1801,26.2,1140,2040000,"Asia"
"260","Kenya",1801,25.5,856,2590000,"Africa"
"261","Kiribati",1801,24.9,551,17900,"Oceania"
"262","Kuwait",1801,26,1100,81300,"Middle East"
"263","Latvia",1801,33,752,591000,"Europe"
"264","Lebanon",1801,29.7,2150,302000,"Middle East"
"265","Lesotho",1801,32.8,351,276000,"Africa"
"266","Liberia",1801,31.1,797,314000,"Africa"
"267","Libya",1801,33.1,1050,230000,"Africa"
"268","Lithuania",1801,28.9,1270,779000,"Europe"
"269","Luxembourg",1801,36.9,1450,127000,"Europe"
"270","Madagascar",1801,30.5,573,1510000,"Africa"
"271","Malawi",1801,30.3,350,753000,"Africa"
"272","Malaysia",1801,30.6,1120,287000,"Asia"
"273","Maldives",1801,32.6,843,42400,"Asia"
"274","Mali",1801,26.4,603,1400000,"Africa"
"275","Malta",1801,28.7,782,134000,"Europe"
"276","Marshall Islands",1801,NA,539,5830,"Oceania"
"277","Mauritania",1801,32,528,383000,"Africa"
"278","Mauritius",1801,28.7,940,60700,"Africa"
"279","Mexico",1801,26.9,1550,5170000,"The Americas"
"280","Micronesia, Fed. Sts.",1801,26.7,518,16400,"Oceania"
"281","Moldova",1801,33.1,621,713000,"Europe"
"282","Mongolia",1801,31.8,592,601000,"Asia"
"283","Montenegro",1801,35.4,1060,127000,"Europe"
"284","Morocco",1801,33.1,714,2510000,"Africa"
"285","Mozambique",1801,30.3,391,2000000,"Africa"
"286","Myanmar",1801,30.8,594,5840000,"Asia"
"287","Namibia",1801,32.4,540,226000,"Africa"
"288","Nepal",1801,32.8,621,3990000,"Asia"
"289","Netherlands",1801,39.9,3330,2000000,"Europe"
"290","New Zealand",1801,34,658,193000,"Oceania"
"291","Nicaragua",1801,25.4,973,186000,"The Americas"
"292","Niger",1801,30.8,446,853000,"Africa"
"293","Nigeria",1801,30.4,853,12100000,"Africa"
"294","North Korea",1801,26,250,4350000,"Asia"
"295","North Macedonia",1801,36.1,690,392000,"Europe"
"296","Norway",1801,35.8,2540,898000,"Europe"
"297","Oman",1801,32.3,916,301000,"Middle East"
"298","Pakistan",1801,25.8,1020,13100000,"Asia"
"299","Panama",1801,32.9,847,76200,"The Americas"
"300","Papua New Guinea",1801,31.5,546,755000,"Oceania"
"301","Paraguay",1801,35.5,835,289000,"The Americas"
"302","Peru",1801,35.7,1060,1270000,"The Americas"
"303","Philippines",1801,30.9,1090,2440000,"Asia"
"304","Poland",1801,35.9,1080,9070000,"Europe"
"305","Portugal",1801,35.6,1780,2780000,"Europe"
"306","Qatar",1801,30.8,1100,14100,"Middle East"
"307","Romania",1801,35.7,377,5540000,"Europe"
"308","Russia",1801,29.6,1430,31300000,"Europe"
"309","Rwanda",1801,25,432,928000,"Africa"
"310","Samoa",1801,25.4,1400,47300,"Oceania"
"311","Sao Tome and Principe",1801,31,852,22700,"Africa"
"312","Saudi Arabia",1801,32.1,2370,2000000,"Middle East"
"313","Senegal",1801,25.2,497,1010000,"Africa"
"314","Serbia",1801,35.5,1360,2150000,"Europe"
"315","Seychelles",1801,37,795,12500,"Africa"
"316","Sierra Leone",1801,25.1,734,794000,"Africa"
"317","Singapore",1801,29.1,1020,30000,"Asia"
"318","Slovenia",1801,36.6,1410,470000,"Europe"
"319","Solomon Islands",1801,25.1,363,57000,"Oceania"
"320","Somalia",1801,29.4,694,989000,"Africa"
"321","South Africa",1801,33.5,2250,1450000,"Africa"
"322","South Korea",1801,25.8,462,9400000,"Asia"
"323","South Sudan",1801,26.7,507,1030000,"Africa"
"324","Spain",1801,29.5,1610,11500000,"Europe"
"325","Sri Lanka",1801,32.6,799,1720000,"Asia"
"326","St. Lucia",1801,28,875,24000,"The Americas"
"327","St. Vincent and the Grenadines",1801,26,838,25800,"The Americas"
"328","Sudan",1801,31.4,518,4000000,"Africa"
"329","Suriname",1801,32.9,1640,80700,"The Americas"
"330","Swaziland",1801,32.3,490,85600,"Africa"
"331","Sweden",1801,36.9,1440,2490000,"Europe"
"332","Switzerland",1801,38,2700,1760000,"Europe"
"333","Syria",1801,31.1,503,1250000,"Middle East"
"334","Tajikistan",1801,24.2,557,467000,"Asia"
"335","Tanzania",1801,32.2,562,3000000,"Africa"
"336","Thailand",1801,30.4,795,3070000,"Asia"
"337","Timor-Leste",1801,28.9,522,137000,"Asia"
"338","Togo",1801,31.3,683,446000,"Africa"
"339","Tonga",1801,28.2,663,18700,"Oceania"
"340","Trinidad and Tobago",1801,32.9,1230,21100,"The Americas"
"341","Tunisia",1801,28.8,715,804000,"Africa"
"342","Turkey",1801,35,1190,9780000,"Europe"
"343","Turkmenistan",1801,24,944,367000,"Asia"
"344","Uganda",1801,25.3,464,2480000,"Africa"
"345","Ukraine",1801,36.6,764,11200000,"Europe"
"346","United Arab Emirates",1801,30.7,1000,40200,"Middle East"
"347","United Kingdom",1801,37.4,3290,10900000,"Europe"
"348","United States",1801,39.4,2020,6110000,"The Americas"
"349","Uruguay",1801,32.9,1810,55000,"The Americas"
"350","Uzbekistan",1801,26.9,502,1920000,"Asia"
"351","Vanuatu",1801,24.3,586,27800,"Oceania"
"352","Venezuela",1801,32.2,1200,978000,"The Americas"
"353","Vietnam",1801,32,778,4100000,"Asia"
"354","Yemen",1801,23.4,879,2590000,"Middle East"
"355","Zambia",1801,32.6,665,758000,"Africa"
"356","Zimbabwe",1801,33.7,870,1090000,"Africa"
"357","Afghanistan",1802,28.2,603,3280000,"Asia"
"358","Albania",1802,35.4,667,404000,"Europe"
"359","Algeria",1802,28.8,717,2520000,"Africa"
"360","Andorra",1802,NA,1200,2650,"Europe"
"361","Angola",1802,27,623,1570000,"Africa"
"362","Antigua and Barbuda",1802,33.5,757,37000,"The Americas"
"363","Argentina",1802,33.2,1650,506000,"The Americas"
"364","Armenia",1802,34,514,413000,"Asia"
"365","Australia",1802,34,826,211000,"Oceania"
"366","Austria",1802,34.4,1860,3040000,"Europe"
"367","Azerbaijan",1802,29.2,775,880000,"Asia"
"368","Bahrain",1802,30.3,1250,64500,"Middle East"
"369","Bangladesh",1802,25.5,876,19300000,"Asia"
"370","Barbados",1802,32.1,914,81700,"The Americas"
"371","Belarus",1802,36.2,608,2360000,"Europe"
"372","Belgium",1802,40,2390,3270000,"Europe"
"373","Belize",1802,26.5,579,25500,"The Americas"
"374","Benin",1802,31,597,637000,"Africa"
"375","Bhutan",1802,28.8,630,392000,"Asia"
"376","Bolivia",1802,33,854,906000,"The Americas"
"377","Bosnia and Herzegovina",1802,35.1,669,852000,"Europe"
"378","Botswana",1802,33.6,397,120000,"Africa"
"379","Brazil",1802,32,1120,2650000,"The Americas"
"380","Brunei",1802,29.2,1510,2260,"Asia"
"381","Bulgaria",1802,35.9,1090,2240000,"Europe"
"382","Burkina Faso",1802,29.2,480,1670000,"Africa"
"383","Burundi",1802,31.5,419,899000,"Africa"
"384","Cambodia",1802,35,385,2090000,"Asia"
"385","Cameroon",1802,28.8,626,1860000,"Africa"
"386","Canada",1802,39,1330,525000,"The Americas"
"387","Central African Republic",1802,30,424,479000,"Africa"
"388","Chad",1802,30.9,418,1440000,"Africa"
"389","Chile",1802,32,744,771000,"The Americas"
"390","China",1802,32,733,333000000,"Asia"
"391","Colombia",1802,32,927,1210000,"The Americas"
"392","Comoros",1802,32.1,697,56300,"Africa"
"393","Costa Rica",1802,30.2,775,53900,"The Americas"
"394","Cote d'Ivoire",1802,31.2,819,1090000,"Africa"
"395","Croatia",1802,36.1,1100,1230000,"Europe"
"396","Cuba",1802,32.5,917,316000,"The Americas"
"397","Cyprus",1802,38.5,854,184000,"Europe"
"398","Czech Republic",1802,35,1920,5520000,"Europe"
"399","Denmark",1802,44.4,2020,1010000,"Europe"
"400","Djibouti",1802,29.9,757,22800,"Africa"
"401","Dominica",1802,NA,663,20000,"The Americas"
"402","Dominican Republic",1802,29.9,667,142000,"The Americas"
"403","Ecuador",1802,32.9,529,500000,"The Americas"
"404","Egypt",1802,33,1600,3560000,"Africa"
"405","El Salvador",1802,28.7,975,229000,"The Americas"
"406","Equatorial Guinea",1802,29.8,357,80400,"Africa"
"407","Eritrea",1802,30.2,532,205000,"Africa"
"408","Estonia",1802,35.3,940,334000,"Europe"
"409","Ethiopia",1802,29.7,523,12000000,"Africa"
"410","Fiji",1802,26.1,785,131000,"Oceania"
"411","Finland",1802,39.2,1240,831000,"Europe"
"412","France",1802,34.4,1850,29200000,"Europe"
"413","Gabon",1802,30.6,390,158000,"Africa"
"414","Georgia",1802,31.9,543,1070000,"Asia"
"415","Germany",1802,38.4,2020,18600000,"Europe"
"416","Ghana",1802,28,697,2020000,"Africa"
"417","Greece",1802,36.6,1380,2260000,"Europe"
"418","Grenada",1802,31.4,959,29400,"The Americas"
"419","Guatemala",1802,25.8,857,475000,"The Americas"
"420","Guinea",1802,29.5,450,984000,"Africa"
"421","Guinea-Bissau",1802,32,567,218000,"Africa"
"422","Guyana",1802,31.1,1210,166000,"The Americas"
"423","Haiti",1802,29,634,519000,"The Americas"
"424","Honduras",1802,33.9,675,130000,"The Americas"
"425","Hungary",1802,36,1250,3330000,"Europe"
"426","Iceland",1802,27.6,927,61400,"Europe"
"427","India",1802,25,858,202000000,"Asia"
"428","Indonesia",1802,30,983,16200000,"Asia"
"429","Iran",1802,25.6,1530,6050000,"Middle East"
"430","Iraq",1802,31.2,3840,1010000,"Middle East"
"431","Ireland",1802,38.3,1480,5410000,"Europe"
"432","Israel",1802,32,880,210000,"Middle East"
"433","Italy",1802,29.7,2830,19100000,"Europe"
"434","Jamaica",1802,34.2,1360,309000,"The Americas"
"435","Japan",1802,36.4,1010,28300000,"Asia"
"436","Jordan",1802,31.7,1130,202000,"Middle East"
"437","Kazakhstan",1802,26.2,1140,2040000,"Asia"
"438","Kenya",1802,25.5,859,2600000,"Africa"
"439","Kiribati",1802,24.9,552,17900,"Oceania"
"440","Kuwait",1802,26,1110,81300,"Middle East"
"441","Latvia",1802,33,753,591000,"Europe"
"442","Lebanon",1802,29.7,2150,303000,"Middle East"
"443","Lesotho",1802,32.8,352,276000,"Africa"
"444","Liberia",1802,31.1,797,314000,"Africa"
"445","Libya",1802,33.1,1050,230000,"Africa"
"446","Lithuania",1802,28.9,1270,779000,"Europe"
"447","Luxembourg",1802,36.9,1450,127000,"Europe"
"448","Madagascar",1802,30.5,573,1520000,"Africa"
"449","Malawi",1802,30.3,350,769000,"Africa"
"450","Malaysia",1802,30.6,1120,287000,"Asia"
"451","Maldives",1802,32.6,843,42400,"Asia"
"452","Mali",1802,26.4,603,1400000,"Africa"
"453","Malta",1802,28.7,782,134000,"Europe"
"454","Marshall Islands",1802,NA,540,5830,"Oceania"
"455","Mauritania",1802,32,528,383000,"Africa"
"456","Mauritius",1802,28.7,940,62400,"Africa"
"457","Mexico",1802,26.9,1520,5230000,"The Americas"
"458","Micronesia, Fed. Sts.",1802,26.7,518,16400,"Oceania"
"459","Moldova",1802,33.1,621,713000,"Europe"
"460","Mongolia",1802,31.8,592,602000,"Asia"
"461","Montenegro",1802,35.4,1060,127000,"Europe"
"462","Morocco",1802,33.1,715,2520000,"Africa"
"463","Mozambique",1802,30.3,391,2010000,"Africa"
"464","Myanmar",1802,30.8,594,5690000,"Asia"
"465","Namibia",1802,32.4,540,223000,"Africa"
"466","Nepal",1802,32.8,621,3990000,"Asia"
"467","Netherlands",1802,39.9,3330,2010000,"Europe"
"468","New Zealand",1802,34,658,187000,"Oceania"
"469","Nicaragua",1802,25.4,973,186000,"The Americas"
"470","Niger",1802,30.8,446,853000,"Africa"
"471","Nigeria",1802,30.4,854,12100000,"Africa"
"472","North Korea",1802,26,249,4350000,"Asia"
"473","North Macedonia",1802,36.1,690,392000,"Europe"
"474","Norway",1802,38.4,2540,897000,"Europe"
"475","Oman",1802,32.3,916,302000,"Middle East"
"476","Pakistan",1802,25.8,1020,13200000,"Asia"
"477","Panama",1802,32.9,847,76700,"The Americas"
"478","Papua New Guinea",1802,31.5,546,755000,"Oceania"
"479","Paraguay",1802,35.5,835,279000,"The Americas"
"480","Peru",1802,35.7,1060,1280000,"The Americas"
"481","Philippines",1802,30.9,1090,2370000,"Asia"
"482","Poland",1802,35.9,1050,9130000,"Europe"
"483","Portugal",1802,35.6,1830,2800000,"Europe"
"484","Qatar",1802,30.8,1110,14100,"Middle East"
"485","Romania",1802,35.7,377,5580000,"Europe"
"486","Russia",1802,29.6,1430,31300000,"Europe"
"487","Rwanda",1802,25,432,928000,"Africa"
"488","Samoa",1802,25.4,1400,47300,"Oceania"
"489","Sao Tome and Principe",1802,31,853,22700,"Africa"
"490","Saudi Arabia",1802,32.1,2370,2010000,"Middle East"
"491","Senegal",1802,25.2,497,1010000,"Africa"
"492","Serbia",1802,35.5,1360,2150000,"Europe"
"493","Seychelles",1802,37,798,12500,"Africa"
"494","Sierra Leone",1802,25.1,734,794000,"Africa"
"495","Singapore",1802,29.1,1020,30000,"Asia"
"496","Slovenia",1802,36.6,1410,470000,"Europe"
"497","Solomon Islands",1802,25.1,363,57000,"Oceania"
"498","Somalia",1802,29.4,695,990000,"Africa"
"499","South Africa",1802,33.5,2230,1460000,"Africa"
"500","South Korea",1802,25.8,462,9400000,"Asia"
"501","South Sudan",1802,26.7,507,1030000,"Africa"
"502","Spain",1802,29.5,1620,11600000,"Europe"
"503","Sri Lanka",1802,32.6,799,1690000,"Asia"
"504","St. Lucia",1802,28,875,24000,"The Americas"
"505","St. Vincent and the Grenadines",1802,26,838,25800,"The Americas"
"506","Sudan",1802,31.4,518,4000000,"Africa"
"507","Suriname",1802,32.9,1640,80700,"The Americas"
"508","Swaziland",1802,32.3,490,85100,"Africa"
